,Cancer Sites,Age Group Code,Sex,Race,Year,Count,Population,Rate
2757,Male Genital System,85+,Male,Black or African American,2006.0,42.0,6641.0,632.4
2758,Male Genital System,85+,Male,Black or African American,2007.0,53.0,7043.0,752.5
2759,Male Genital System,85+,Male,Black or African American,2008.0,57.0,7474.0,762.6
2760,Male Genital System,85+,Male,Black or African American,2009.0,57.0,8002.0,712.3
2761,Male Genital System,85+,Male,Black or African American,2010.0,48.0,8478.0,566.2
2762,Male Genital System,85+,Male,Black or African American,2011.0,39.0,8883.0,439.0
2763,Prostate,40-44,Male,Black or African American,1999.0,17.0,96789.0,17.6
2764,Prostate,40-44,Male,Black or African American,2000.0,28.0,99191.0,28.2
2765,Prostate,40-44,Male,Black or African American,2002.0,24.0,102671.0,23.4
2766,Prostate,40-44,Male,Black or African American,2003.0,19.0,103267.0,18.4
2767,Prostate,40-44,Male,Black or African American,2004.0,26.0,103597.0,25.1
2768,Prostate,40-44,Male,Black or African American,2005.0,25.0,102518.0,24.4
2769,Prostate,40-44,Male,Black or African American,2006.0,27.0,100728.0,26.8
2770,Prostate,40-44,Male,Black or African American,2007.0,25.0,97873.0,25.5
2771,Prostate,40-44,Male,Black or African American,2008.0,22.0,95604.0,23.0
2772,Prostate,40-44,Male,Black or African American,2009.0,18.0,93187.0,19.3
2773,Prostate,40-44,Male,Black or African American,2010.0,19.0,92623.0,20.5
2774,Prostate,40-44,Male,Black or African American,2011.0,23.0,92124.0,25.0
2775,Prostate,45-49,Male,Black or African American,1999.0,73.0,75947.0,96.1
2776,Prostate,45-49,Male,Black or African American,2000.0,53.0,78868.0,67.2
2777,Prostate,45-49,Male,Black or African American,2001.0,76.0,81741.0,93.0
2778,Prostate,45-49,Male,Black or African American,2002.0,87.0,85189.0,102.1
2779,Prostate,45-49,Male,Black or African American,2003.0,75.0,88866.0,84.4
2780,Prostate,45-49,Male,Black or African American,2004.0,67.0,91336.0,73.4
2781,Prostate,45-49,Male,Black or African American,2005.0,85.0,94235.0,90.2
2782,Prostate,45-49,Male,Black or African American,2006.0,85.0,96335.0,88.2
2783,Prostate,45-49,Male,Black or African American,2007.0,102.0,97855.0,104.2
2784,Prostate,45-49,Male,Black or African American,2008.0,95.0,98553.0,96.4
2785,Prostate,45-49,Male,Black or African American,2009.0,106.0,99324.0,106.7
2786,Prostate,45-49,Male,Black or African American,2010.0,114.0,98858.0,115.3
2787,Prostate,45-49,Male,Black or African American,2011.0,91.0,96830.0,94.0
2788,Prostate,50-54,Male,Black or African American,1999.0,139.0,57998.0,239.7
2789,Prostate,50-54,Male,Black or African American,2000.0,170.0,62253.0,273.1
2790,Prostate,50-54,Male,Black or African American,2001.0,172.0,66731.0,257.8
2791,Prostate,50-54,Male,Black or African American,2002.0,184.0,68989.0,266.7
2792,Prostate,50-54,Male,Black or African American,2003.0,185.0,71025.0,260.5
2793,Prostate,50-54,Male,Black or African American,2004.0,178.0,73700.0,241.5
2794,Prostate,50-54,Male,Black or African American,2005.0,169.0,76368.0,221.3
2795,Prostate,50-54,Male,Black or African American,2006.0,185.0,79254.0,233.4
2796,Prostate,50-54,Male,Black or African American,2007.0,222.0,82841.0,268.0
2797,Prostate,50-54,Male,Black or African American,2008.0,196.0,86698.0,226.1
2798,Prostate,50-54,Male,Black or African American,2009.0,235.0,89649.0,262.1
2799,Prostate,50-54,Male,Black or African American,2010.0,257.0,92770.0,277.0
2800,Prostate,50-54,Male,Black or African American,2011.0,225.0,94303.0,238.6
2801,Prostate,55-59,Male,Black or African American,1999.0,261.0,43139.0,605.0
2802,Prostate,55-59,Male,Black or African American,2000.0,291.0,44156.0,659.0
2803,Prostate,55-59,Male,Black or African American,2001.0,279.0,45596.0,611.9
2804,Prostate,55-59,Male,Black or African American,2002.0,312.0,48449.0,644.0
2805,Prostate,55-59,Male,Black or African American,2003.0,307.0,51786.0,592.8
2806,Prostate,55-59,Male,Black or African American,2004.0,318.0,54861.0,579.6
2807,Prostate,55-59,Male,Black or African American,2005.0,262.0,58982.0,444.2
2808,Prostate,55-59,Male,Black or African American,2006.0,341.0,62903.0,542.1
2809,Prostate,55-59,Male,Black or African American,2007.0,346.0,64675.0,535.0
2810,Prostate,55-59,Male,Black or African American,2008.0,361.0,66449.0,543.3
2811,Prostate,55-59,Male,Black or African American,2009.0,367.0,69231.0,530.1
2812,Prostate,55-59,Male,Black or African American,2010.0,374.0,72115.0,518.6
2813,Prostate,55-59,Male,Black or African American,2011.0,361.0,74881.0,482.1
2814,Prostate,60-64,Male,Black or African American,1999.0,390.0,35939.0,1085.2
2815,Prostate,60-64,Male,Black or African American,2000.0,365.0,36897.0,989.2
2816,Prostate,60-64,Male,Black or African American,2001.0,383.0,37322.0,1026.2
2817,Prostate,60-64,Male,Black or African American,2002.0,363.0,37958.0,956.3
2818,Prostate,60-64,Male,Black or African American,2003.0,341.0,38768.0,879.6
2819,Prostate,60-64,Male,Black or African American,2004.0,344.0,39941.0,861.3
2820,Prostate,60-64,Male,Black or African American,2005.0,364.0,40609.0,896.4
2821,Prostate,60-64,Male,Black or African American,2006.0,396.0,41311.0,958.6
2822,Prostate,60-64,Male,Black or African American,2007.0,427.0,43615.0,979.0
2823,Prostate,60-64,Male,Black or African American,2008.0,383.0,46646.0,821.1
2824,Prostate,60-64,Male,Black or African American,2009.0,435.0,49515.0,878.5
2825,Prostate,60-64,Male,Black or African American,2010.0,439.0,53720.0,817.2
2826,Prostate,60-64,Male,Black or African American,2011.0,445.0,56934.0,781.6
2827,Prostate,65-69,Male,Black or African American,1999.0,361.0,27818.0,1297.7
2828,Prostate,65-69,Male,Black or African American,2000.0,398.0,28137.0,1414.5
2829,Prostate,65-69,Male,Black or African American,2001.0,409.0,29423.0,1390.1
2830,Prostate,65-69,Male,Black or African American,2002.0,394.0,30583.0,1288.3
2831,Prostate,65-69,Male,Black or African American,2003.0,351.0,31540.0,1112.9
2832,Prostate,65-69,Male,Black or African American,2004.0,408.0,32243.0,1265.4
2833,Prostate,65-69,Male,Black or African American,2005.0,373.0,32517.0,1147.1
2834,Prostate,65-69,Male,Black or African American,2006.0,375.0,32361.0,1158.8
2835,Prostate,65-69,Male,Black or African American,2007.0,392.0,32754.0,1196.8
2836,Prostate,65-69,Male,Black or African American,2008.0,377.0,33272.0,1133.1
2837,Prostate,65-69,Male,Black or African American,2009.0,369.0,34521.0,1068.9
2838,Prostate,65-69,Male,Black or African American,2010.0,376.0,35557.0,1057.5
2839,Prostate,65-69,Male,Black or African American,2011.0,359.0,36577.0,981.5
2840,Prostate,70-74,Male,Black or African American,1999.0,285.0,19942.0,1429.1
2841,Prostate,70-74,Male,Black or African American,2000.0,303.0,20292.0,1493.2
2842,Prostate,70-74,Male,Black or African American,2001.0,266.0,20785.0,1279.8
2843,Prostate,70-74,Male,Black or African American,2002.0,268.0,21362.0,1254.6
2844,Prostate,70-74,Male,Black or African American,2003.0,270.0,22146.0,1219.2
2845,Prostate,70-74,Male,Black or African American,2004.0,241.0,22928.0,1051.1
2846,Prostate,70-74,Male,Black or African American,2005.0,265.0,23905.0,1108.6
2847,Prostate,70-74,Male,Black or African American,2006.0,270.0,24706.0,1092.9
2848,Prostate,70-74,Male,Black or African American,2007.0,286.0,25493.0,1121.9
2849,Prostate,70-74,Male,Black or African American,2008.0,280.0,26056.0,1074.6
2850,Prostate,70-74,Male,Black or African American,2009.0,277.0,26768.0,1034.8
2851,Prostate,70-74,Male,Black or African American,2010.0,252.0,27199.0,926.5
2852,Prostate,70-74,Male,Black or African American,2011.0,258.0,27524.0,937.4
2853,Prostate,75-79,Male,Black or African American,1999.0,233.0,14739.0,1580.8
2854,Prostate,75-79,Male,Black or African American,2000.0,203.0,15053.0,1348.6
2855,Prostate,75-79,Male,Black or African American,2001.0,187.0,15208.0,1229.6
2856,Prostate,75-79,Male,Black or African American,2002.0,176.0,15283.0,1151.6
2857,Prostate,75-79,Male,Black or African American,2003.0,160.0,15399.0,1039.0
2858,Prostate,75-79,Male,Black or African American,2004.0,174.0,15283.0,1138.5
2859,Prostate,75-79,Male,Black or African American,2005.0,146.0,15616.0,934.9
2860,Prostate,75-79,Male,Black or African American,2006.0,168.0,15804.0,1063.0
2861,Prostate,75-79,Male,Black or African American,2007.0,170.0,16079.0,1057.3
2862,Prostate,75-79,Male,Black or African American,2008.0,176.0,16694.0,1054.3
2863,Prostate,75-79,Male,Black or African American,2009.0,152.0,17322.0,877.5
2864,Prostate,75-79,Male,Black or African American,2010.0,131.0,18076.0,724.7
2865,Prostate,75-79,Male,Black or African American,2011.0,130.0,19116.0,680.1
2866,Prostate,80-84,Male,Black or African American,1999.0,78.0,7947.0,981.5
2867,Prostate,80-84,Male,Black or African American,2000.0,97.0,8255.0,1175.0
2868,Prostate,80-84,Male,Black or African American,2001.0,77.0,8628.0,892.4
2869,Prostate,80-84,Male,Black or African American,2002.0,97.0,8976.0,1080.7
2870,Prostate,80-84,Male,Black or African American,2003.0,92.0,9341.0,984.9
2871,Prostate,80-84,Male,Black or African American,2004.0,95.0,9588.0,990.8
2872,Prostate,80-84,Male,Black or African American,2005.0,89.0,9767.0,911.2
2873,Prostate,80-84,Male,Black or African American,2006.0,86.0,9766.0,880.6
2874,Prostate,80-84,Male,Black or African American,2007.0,82.0,9999.0,820.1
2875,Prostate,80-84,Male,Black or African American,2008.0,59.0,10065.0,586.2
2876,Prostate,80-84,Male,Black or African American,2009.0,65.0,10106.0,643.2
2877,Prostate,80-84,Male,Black or African American,2010.0,53.0,10515.0,504.0
2878,Prostate,80-84,Male,Black or African American,2011.0,70.0,10859.0,644.6
2879,Prostate,85+,Male,Black or African American,1999.0,57.0,5377.0,1060.1
2880,Prostate,85+,Male,Black or African American,2000.0,52.0,5565.0,934.4
2881,Prostate,85+,Male,Black or African American,2001.0,64.0,5505.0,1162.6
2882,Prostate,85+,Male,Black or African American,2002.0,62.0,5580.0,1111.1
2883,Prostate,85+,Male,Black or African American,2003.0,53.0,5726.0,925.6
2884,Prostate,85+,Male,Black or African American,2004.0,61.0,5921.0,1030.2
2885,Prostate,85+,Male,Black or African American,2005.0,59.0,6368.0,926.5
2886,Prostate,85+,Male,Black or African American,2006.0,42.0,6641.0,632.4
2887,Prostate,85+,Male,Black or African American,2007.0,52.0,7043.0,738.3
2888,Prostate,85+,Male,Black or African American,2008.0,56.0,7474.0,749.3
2889,Prostate,85+,Male,Black or African American,2009.0,53.0,8002.0,662.3
2890,Prostate,85+,Male,Black or African American,2010.0,46.0,8478.0,542.6
2891,Prostate,85+,Male,Black or African American,2011.0,38.0,8883.0,427.8
2892,Urinary System,40-44,Male,Black or African American,2004.0,19.0,103597.0,18.3
2893,Urinary System,40-44,Male,Black or African American,2005.0,22.0,102518.0,21.5
2894,Urinary System,40-44,Male,Black or African American,2006.0,17.0,100728.0,16.9
2895,Urinary System,40-44,Male,Black or African American,2011.0,20.0,92124.0,21.7
2896,Urinary System,45-49,Female,Black or African American,2010.0,18.0,100574.0,17.9
2897,Urinary System,45-49,Male,Black or African American,1999.0,21.0,75947.0,27.7
2898,Urinary System,45-49,Male,Black or African American,2000.0,20.0,78868.0,25.4
2899,Urinary System,45-49,Male,Black or African American,2002.0,31.0,85189.0,36.4
2900,Urinary System,45-49,Male,Black or African American,2003.0,25.0,88866.0,28.1
2901,Urinary System,45-49,Male,Black or African American,2004.0,21.0,91336.0,23.0
2902,Urinary System,45-49,Male,Black or African American,2005.0,20.0,94235.0,21.2
2903,Urinary System,45-49,Male,Black or African American,2007.0,29.0,97855.0,29.6
2904,Urinary System,45-49,Male,Black or African American,2008.0,27.0,98553.0,27.4
2905,Urinary System,45-49,Male,Black or African American,2009.0,22.0,99324.0,22.1
2906,Urinary System,45-49,Male,Black or African American,2010.0,31.0,98858.0,31.4
2907,Urinary System,45-49,Male,Black or African American,2011.0,29.0,96830.0,29.9
2908,Urinary System,50-54,Female,Black or African American,2002.0,16.0,75518.0,21.2
2909,Urinary System,50-54,Female,Black or African American,2004.0,18.0,79384.0,22.7
2910,Urinary System,50-54,Female,Black or African American,2010.0,27.0,95288.0,28.3
2911,Urinary System,50-54,Female,Black or African American,2011.0,17.0,97163.0,17.5
2912,Urinary System,50-54,Male,Black or African American,1999.0,21.0,57998.0,36.2
2913,Urinary System,50-54,Male,Black or African American,2000.0,33.0,62253.0,53.0
2914,Urinary System,50-54,Male,Black or African American,2001.0,27.0,66731.0,40.5
2915,Urinary System,50-54,Male,Black or African American,2002.0,26.0,68989.0,37.7
2916,Urinary System,50-54,Male,Black or African American,2003.0,36.0,71025.0,50.7
2917,Urinary System,50-54,Male,Black or African American,2004.0,41.0,73700.0,55.6
2918,Urinary System,50-54,Male,Black or African American,2005.0,38.0,76368.0,49.8
2919,Urinary System,50-54,Male,Black or African American,2006.0,35.0,79254.0,44.2
2920,Urinary System,50-54,Male,Black or African American,2007.0,39.0,82841.0,47.1
2921,Urinary System,50-54,Male,Black or African American,2008.0,51.0,86698.0,58.8
2922,Urinary System,50-54,Male,Black or African American,2009.0,45.0,89649.0,50.2
2923,Urinary System,50-54,Male,Black or African American,2010.0,50.0,92770.0,53.9
2924,Urinary System,50-54,Male,Black or African American,2011.0,52.0,94303.0,55.1
2925,Urinary System,55-59,Female,Black or African American,2002.0,18.0,55728.0,32.3
2926,Urinary System,55-59,Female,Black or African American,2004.0,17.0,62436.0,27.2
2927,Urinary System,55-59,Female,Black or African American,2005.0,23.0,66479.0,34.6
2928,Urinary System,55-59,Female,Black or African American,2006.0,23.0,70330.0,32.7
2929,Urinary System,55-59,Female,Black or African American,2007.0,26.0,71222.0,36.5
2930,Urinary System,55-59,Female,Black or African American,2008.0,20.0,73236.0,27.3
2931,Urinary System,55-59,Female,Black or African American,2009.0,21.0,74956.0,28.0
2932,Urinary System,55-59,Female,Black or African American,2010.0,26.0,77452.0,33.6
2933,Urinary System,55-59,Female,Black or African American,2011.0,24.0,79898.0,30.0
2934,Urinary System,55-59,Male,Black or African American,1999.0,24.0,43139.0,55.6
2935,Urinary System,55-59,Male,Black or African American,2000.0,20.0,44156.0,45.3
2936,Urinary System,55-59,Male,Black or African American,2001.0,38.0,45596.0,83.3
2937,Urinary System,55-59,Male,Black or African American,2002.0,34.0,48449.0,70.2
2938,Urinary System,55-59,Male,Black or African American,2003.0,45.0,51786.0,86.9
2939,Urinary System,55-59,Male,Black or African American,2004.0,47.0,54861.0,85.7
2940,Urinary System,55-59,Male,Black or African American,2005.0,59.0,58982.0,100.0
2941,Urinary System,55-59,Male,Black or African American,2006.0,52.0,62903.0,82.7
2942,Urinary System,55-59,Male,Black or African American,2007.0,39.0,64675.0,60.3
2943,Urinary System,55-59,Male,Black or African American,2008.0,60.0,66449.0,90.3
2944,Urinary System,55-59,Male,Black or African American,2009.0,64.0,69231.0,92.4
2945,Urinary System,55-59,Male,Black or African American,2010.0,65.0,72115.0,90.1
2946,Urinary System,55-59,Male,Black or African American,2011.0,62.0,74881.0,82.8
2947,Urinary System,60-64,Female,Black or African American,1999.0,19.0,40715.0,46.7
2948,Urinary System,60-64,Female,Black or African American,2000.0,19.0,41768.0,45.5
2949,Urinary System,60-64,Female,Black or African American,2001.0,16.0,42700.0,37.5
2950,Urinary System,60-64,Female,Black or African American,2002.0,24.0,43881.0,54.7
2951,Urinary System,60-64,Female,Black or African American,2003.0,16.0,45470.0,35.2
2952,Urinary System,60-64,Female,Black or African American,2004.0,22.0,46688.0,47.1
2953,Urinary System,60-64,Female,Black or African American,2005.0,18.0,47407.0,38.0
2954,Urinary System,60-64,Female,Black or African American,2006.0,16.0,48285.0,33.1
2955,Urinary System,60-64,Female,Black or African American,2007.0,24.0,51292.0,46.8
2956,Urinary System,60-64,Female,Black or African American,2008.0,28.0,53765.0,52.1
2957,Urinary System,60-64,Female,Black or African American,2009.0,30.0,57271.0,52.4
2958,Urinary System,60-64,Female,Black or African American,2010.0,23.0,61534.0,37.4
2959,Urinary System,60-64,Female,Black or African American,2011.0,48.0,65348.0,73.5
2960,Urinary System,60-64,Male,Black or African American,1999.0,46.0,35939.0,128.0
2961,Urinary System,60-64,Male,Black or African American,2000.0,32.0,36897.0,86.7
2962,Urinary System,60-64,Male,Black or African American,2001.0,40.0,37322.0,107.2
2963,Urinary System,60-64,Male,Black or African American,2002.0,50.0,37958.0,131.7
2964,Urinary System,60-64,Male,Black or African American,2003.0,37.0,38768.0,95.4
2965,Urinary System,60-64,Male,Black or African American,2004.0,40.0,39941.0,100.1
2966,Urinary System,60-64,Male,Black or African American,2005.0,44.0,40609.0,108.4
2967,Urinary System,60-64,Male,Black or African American,2006.0,60.0,41311.0,145.2
2968,Urinary System,60-64,Male,Black or African American,2007.0,51.0,43615.0,116.9
2969,Urinary System,60-64,Male,Black or African American,2008.0,68.0,46646.0,145.8
2970,Urinary System,60-64,Male,Black or African American,2009.0,68.0,49515.0,137.3
2971,Urinary System,60-64,Male,Black or African American,2010.0,66.0,53720.0,122.9
2972,Urinary System,60-64,Male,Black or African American,2011.0,73.0,56934.0,128.2
2973,Urinary System,65-69,Female,Black or African American,1999.0,21.0,33293.0,63.1
2974,Urinary System,65-69,Female,Black or African American,2000.0,17.0,33717.0,50.4
2975,Urinary System,65-69,Female,Black or African American,2001.0,18.0,34758.0,51.8
2976,Urinary System,65-69,Female,Black or African American,2002.0,27.0,35842.0,75.3
2977,Urinary System,65-69,Female,Black or African American,2003.0,26.0,36908.0,70.4
2978,Urinary System,65-69,Female,Black or African American,2004.0,36.0,37806.0,95.2
2979,Urinary System,65-69,Female,Black or African American,2005.0,28.0,38641.0,72.5
2980,Urinary System,65-69,Female,Black or African American,2006.0,28.0,39127.0,71.6
2981,Urinary System,65-69,Female,Black or African American,2007.0,28.0,40033.0,69.9
2982,Urinary System,65-69,Female,Black or African American,2008.0,27.0,41360.0,65.3
2983,Urinary System,65-69,Female,Black or African American,2009.0,36.0,42798.0,84.1
2984,Urinary System,65-69,Female,Black or African American,2010.0,36.0,43933.0,81.9
2985,Urinary System,65-69,Female,Black or African American,2011.0,29.0,44844.0,64.7
2986,Urinary System,65-69,Male,Black or African American,1999.0,36.0,27818.0,129.4
2987,Urinary System,65-69,Male,Black or African American,2000.0,38.0,28137.0,135.1
2988,Urinary System,65-69,Male,Black or African American,2001.0,46.0,29423.0,156.3
2989,Urinary System,65-69,Male,Black or African American,2002.0,42.0,30583.0,137.3
2990,Urinary System,65-69,Male,Black or African American,2003.0,54.0,31540.0,171.2
2991,Urinary System,65-69,Male,Black or African American,2004.0,52.0,32243.0,161.3
2992,Urinary System,65-69,Male,Black or African American,2005.0,70.0,32517.0,215.3
2993,Urinary System,65-69,Male,Black or African American,2006.0,55.0,32361.0,170.0
2994,Urinary System,65-69,Male,Black or African American,2007.0,89.0,32754.0,271.7
2995,Urinary System,65-69,Male,Black or African American,2008.0,59.0,33272.0,177.3
2996,Urinary System,65-69,Male,Black or African American,2009.0,62.0,34521.0,179.6
2997,Urinary System,65-69,Male,Black or African American,2010.0,61.0,35557.0,171.6
2998,Urinary System,65-69,Male,Black or African American,2011.0,58.0,36577.0,158.6
2999,Urinary System,70-74,Female,Black or African American,2000.0,16.0,27866.0,57.4
3000,Urinary System,70-74,Female,Black or African American,2001.0,22.0,28095.0,78.3
3001,Urinary System,70-74,Female,Black or African American,2002.0,30.0,28183.0,106.4
3002,Urinary System,70-74,Female,Black or African American,2003.0,18.0,28724.0,62.7
3003,Urinary System,70-74,Female,Black or African American,2004.0,25.0,29443.0,84.9
3004,Urinary System,70-74,Female,Black or African American,2005.0,27.0,30047.0,89.9
3005,Urinary System,70-74,Female,Black or African American,2006.0,22.0,30629.0,71.8
3006,Urinary System,70-74,Female,Black or African American,2007.0,26.0,31388.0,82.8
3007,Urinary System,70-74,Female,Black or African American,2008.0,29.0,32092.0,90.4
3008,Urinary System,70-74,Female,Black or African American,2009.0,45.0,32976.0,136.5
3009,Urinary System,70-74,Female,Black or African American,2010.0,25.0,33768.0,74.0
3010,Urinary System,70-74,Female,Black or African American,2011.0,39.0,34729.0,112.3
3011,Urinary System,70-74,Male,Black or African American,1999.0,33.0,19942.0,165.5
3012,Urinary System,70-74,Male,Black or African American,2000.0,42.0,20292.0,207.0
3013,Urinary System,70-74,Male,Black or African American,2001.0,36.0,20785.0,173.2
3014,Urinary System,70-74,Male,Black or African American,2002.0,32.0,21362.0,149.8
3015,Urinary System,70-74,Male,Black or African American,2003.0,47.0,22146.0,212.2
3016,Urinary System,70-74,Male,Black or African American,2004.0,46.0,22928.0,200.6
3017,Urinary System,70-74,Male,Black or African American,2005.0,48.0,23905.0,200.8
3018,Urinary System,70-74,Male,Black or African American,2006.0,50.0,24706.0,202.4
3019,Urinary System,70-74,Male,Black or African American,2007.0,53.0,25493.0,207.9
3020,Urinary System,70-74,Male,Black or African American,2008.0,59.0,26056.0,226.4
3021,Urinary System,70-74,Male,Black or African American,2009.0,51.0,26768.0,190.5
3022,Urinary System,70-74,Male,Black or African American,2010.0,52.0,27199.0,191.2
3023,Urinary System,70-74,Male,Black or African American,2011.0,65.0,27524.0,236.2
3024,Urinary System,75-79,Female,Black or African American,1999.0,22.0,22325.0,98.5
3025,Urinary System,75-79,Female,Black or African American,2000.0,22.0,22667.0,97.1
3026,Urinary System,75-79,Female,Black or African American,2001.0,23.0,23115.0,99.5
3027,Urinary System,75-79,Female,Black or African American,2002.0,23.0,23236.0,99.0
3028,Urinary System,75-79,Female,Black or African American,2003.0,17.0,23263.0,73.1
3029,Urinary System,75-79,Female,Black or African American,2004.0,29.0,23187.0,125.1
3030,Urinary System,75-79,Female,Black or African American,2005.0,25.0,23467.0,106.5
3031,Urinary System,75-79,Female,Black or African American,2006.0,27.0,23386.0,115.5
3032,Urinary System,75-79,Female,Black or African American,2007.0,18.0,23391.0,77.0
3033,Urinary System,75-79,Female,Black or African American,2008.0,24.0,23504.0,102.1
3034,Urinary System,75-79,Female,Black or African American,2009.0,23.0,24380.0,94.3
3035,Urinary System,75-79,Female,Black or African American,2010.0,25.0,24860.0,100.6
3036,Urinary System,75-79,Female,Black or African American,2011.0,25.0,25779.0,97.0
3037,Urinary System,75-79,Male,Black or African American,1999.0,29.0,14739.0,196.8
3038,Urinary System,75-79,Male,Black or African American,2000.0,25.0,15053.0,166.1
3039,Urinary System,75-79,Male,Black or African American,2001.0,36.0,15208.0,236.7
3040,Urinary System,75-79,Male,Black or African American,2002.0,39.0,15283.0,255.2
3041,Urinary System,75-79,Male,Black or African American,2003.0,44.0,15399.0,285.7
3042,Urinary System,75-79,Male,Black or African American,2004.0,39.0,15283.0,255.2
3043,Urinary System,75-79,Male,Black or African American,2005.0,44.0,15616.0,281.8
3044,Urinary System,75-79,Male,Black or African American,2006.0,30.0,15804.0,189.8
3045,Urinary System,75-79,Male,Black or African American,2007.0,40.0,16079.0,248.8
3046,Urinary System,75-79,Male,Black or African American,2008.0,44.0,16694.0,263.6
3047,Urinary System,75-79,Male,Black or African American,2009.0,40.0,17322.0,230.9
3048,Urinary System,75-79,Male,Black or African American,2010.0,44.0,18076.0,243.4
3049,Urinary System,75-79,Male,Black or African American,2011.0,39.0,19116.0,204.0
3050,Urinary System,80-84,Female,Black or African American,2001.0,19.0,15566.0,122.1
3051,Urinary System,80-84,Female,Black or African American,2003.0,23.0,16230.0,141.7
3052,Urinary System,80-84,Female,Black or African American,2004.0,16.0,16518.0,96.9
3053,Urinary System,80-84,Female,Black or African American,2005.0,22.0,16797.0,131.0
3054,Urinary System,80-84,Female,Black or African American,2006.0,21.0,16954.0,123.9
3055,Urinary System,80-84,Female,Black or African American,2007.0,23.0,17127.0,134.3
3056,Urinary System,80-84,Female,Black or African American,2008.0,23.0,17175.0,133.9
3057,Urinary System,80-84,Female,Black or African American,2009.0,16.0,17422.0,91.8
3058,Urinary System,80-84,Female,Black or African American,2011.0,31.0,18108.0,171.2
3059,Urinary System,80-84,Male,Black or African American,1999.0,20.0,7947.0,251.7
3060,Urinary System,80-84,Male,Black or African American,2000.0,25.0,8255.0,302.8
3061,Urinary System,80-84,Male,Black or African American,2001.0,26.0,8628.0,301.3
3062,Urinary System,80-84,Male,Black or African American,2002.0,24.0,8976.0,267.4
3063,Urinary System,80-84,Male,Black or African American,2003.0,25.0,9341.0,267.6
3064,Urinary System,80-84,Male,Black or African American,2004.0,30.0,9588.0,312.9
3065,Urinary System,80-84,Male,Black or African American,2005.0,45.0,9767.0,460.7
3066,Urinary System,80-84,Male,Black or African American,2006.0,23.0,9766.0,235.5
3067,Urinary System,80-84,Male,Black or African American,2007.0,29.0,9999.0,290.0
3068,Urinary System,80-84,Male,Black or African American,2008.0,22.0,10065.0,218.6
3069,Urinary System,80-84,Male,Black or African American,2009.0,35.0,10106.0,346.3
3070,Urinary System,80-84,Male,Black or African American,2010.0,40.0,10515.0,380.4
3071,Urinary System,80-84,Male,Black or African American,2011.0,29.0,10859.0,267.1
3072,Urinary System,85+,Female,Black or African American,1999.0,18.0,13734.0,131.1
3073,Urinary System,85+,Female,Black or African American,2001.0,16.0,14327.0,111.7
3074,Urinary System,85+,Female,Black or African American,2004.0,19.0,14824.0,128.2
3075,Urinary System,85+,Female,Black or African American,2006.0,23.0,15862.0,145.0
3076,Urinary System,85+,Female,Black or African American,2007.0,21.0,16452.0,127.6
3077,Urinary System,85+,Female,Black or African American,2008.0,28.0,16894.0,165.7
3078,Urinary System,85+,Female,Black or African American,2009.0,27.0,17828.0,151.4
3079,Urinary System,85+,Female,Black or African American,2010.0,23.0,18799.0,122.3
3080,Urinary System,85+,Female,Black or African American,2011.0,25.0,19494.0,128.2
3081,Urinary System,85+,Male,Black or African American,1999.0,17.0,5377.0,316.2
3082,Urinary System,85+,Male,Black or African American,2001.0,17.0,5505.0,308.8
3083,Urinary System,85+,Male,Black or African American,2002.0,16.0,5580.0,286.7
3084,Urinary System,85+,Male,Black or African American,2004.0,24.0,5921.0,405.3
3085,Urinary System,85+,Male,Black or African American,2006.0,20.0,6641.0,301.2
3086,Urinary System,85+,Male,Black or African American,2007.0,26.0,7043.0,369.2
3087,Urinary System,85+,Male,Black or African American,2008.0,31.0,7474.0,414.8
3088,Urinary System,85+,Male,Black or African American,2009.0,24.0,8002.0,299.9
3089,Urinary System,85+,Male,Black or African American,2010.0,25.0,8478.0,294.9
3090,Urinary System,85+,Male,Black or African American,2011.0,24.0,8883.0,270.2
3091,"Urinary Bladder, invasive and in situ",50-54,Male,Black or African American,2000.0,17.0,62253.0,27.3
3092,"Urinary Bladder, invasive and in situ",50-54,Male,Black or African American,2004.0,19.0,73700.0,25.8
3093,"Urinary Bladder, invasive and in situ",50-54,Male,Black or African American,2006.0,17.0,79254.0,21.5
3094,"Urinary Bladder, invasive and in situ",50-54,Male,Black or African American,2008.0,18.0,86698.0,20.8
3095,"Urinary Bladder, invasive and in situ",50-54,Male,Black or African American,2011.0,19.0,94303.0,20.1
3096,"Urinary Bladder, invasive and in situ",55-59,Male,Black or African American,2001.0,18.0,45596.0,39.5
3097,"Urinary Bladder, invasive and in situ",55-59,Male,Black or African American,2003.0,18.0,51786.0,34.8
3098,"Urinary Bladder, invasive and in situ",55-59,Male,Black or African American,2004.0,16.0,54861.0,29.2
3099,"Urinary Bladder, invasive and in situ",55-59,Male,Black or African American,2005.0,19.0,58982.0,32.2
3100,"Urinary Bladder, invasive and in situ",55-59,Male,Black or African American,2006.0,19.0,62903.0,30.2
3101,"Urinary Bladder, invasive and in situ",55-59,Male,Black or African American,2008.0,23.0,66449.0,34.6
3102,"Urinary Bladder, invasive and in situ",55-59,Male,Black or African American,2010.0,21.0,72115.0,29.1
3103,"Urinary Bladder, invasive and in situ",55-59,Male,Black or African American,2011.0,21.0,74881.0,28.0
