,Leading Cancer Sites,Leading Cancer Sites Code,Age Group Code,Sex,Race,Year,Count,Population,Rate
4520,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2000.0,192.0,783856.0,24.5
4521,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2001.0,214.0,798918.0,26.8
4522,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2002.0,220.0,862617.0,25.5
4523,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2003.0,291.0,986026.0,29.5
4524,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2004.0,287.0,1053416.0,27.2
4525,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2005.0,292.0,1090846.0,26.8
4526,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2006.0,276.0,1135007.0,24.3
4527,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2007.0,335.0,1189011.0,28.2
4528,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2008.0,280.0,1238784.0,22.6
4529,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2009.0,323.0,1279770.0,25.2
4530,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2010.0,338.0,1319005.0,25.6
4531,Non-Hodgkin Lymphoma,33041-33042,50-54,Male,Black or African American,2011.0,306.0,1329551.0,23.0
4532,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,1999.0,118.0,624816.0,18.9
4533,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2000.0,116.0,672451.0,17.3
4534,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2001.0,155.0,655857.0,23.6
4535,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2002.0,139.0,731500.0,19.0
4536,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2003.0,192.0,851161.0,22.6
4537,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2004.0,191.0,934852.0,20.4
4538,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2005.0,199.0,1005724.0,19.8
4539,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2006.0,237.0,1080259.0,21.9
4540,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2007.0,260.0,1121442.0,23.2
4541,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2008.0,236.0,1162262.0,20.3
4542,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2009.0,213.0,1205624.0,17.7
4543,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2010.0,260.0,1247827.0,20.8
4544,Non-Hodgkin Lymphoma,33041-33042,55-59,Female,Black or African American,2011.0,255.0,1283690.0,19.9
4545,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,1999.0,165.0,509723.0,32.4
4546,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2000.0,173.0,550275.0,31.4
4547,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2001.0,179.0,540360.0,33.1
4548,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2002.0,176.0,605841.0,29.1
4549,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2003.0,219.0,711074.0,30.8
4550,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2004.0,269.0,783212.0,34.3
4551,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2005.0,312.0,846841.0,36.8
4552,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2006.0,272.0,910675.0,29.9
4553,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2007.0,334.0,943929.0,35.4
4554,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2008.0,313.0,979107.0,32.0
4555,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2009.0,332.0,1017966.0,32.6
4556,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2010.0,346.0,1057577.0,32.7
4557,Non-Hodgkin Lymphoma,33041-33042,55-59,Male,Black or African American,2011.0,313.0,1091030.0,28.7
4558,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,1999.0,131.0,516783.0,25.3
4559,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2000.0,160.0,551823.0,29.0
4560,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2001.0,136.0,534368.0,25.5
4561,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2002.0,159.0,573055.0,27.7
4562,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2003.0,191.0,656019.0,29.1
4563,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2004.0,202.0,697668.0,29.0
4564,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2005.0,208.0,717983.0,29.0
4565,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2006.0,192.0,743039.0,25.8
4566,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2007.0,226.0,793799.0,28.5
4567,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2008.0,211.0,842295.0,25.1
4568,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2009.0,255.0,903218.0,28.2
4569,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2010.0,254.0,973553.0,26.1
4570,Non-Hodgkin Lymphoma,33041-33042,60-64,Female,Black or African American,2011.0,272.0,1036812.0,26.2
4571,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,1999.0,165.0,406565.0,40.6
4572,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2000.0,151.0,437450.0,34.5
4573,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2001.0,154.0,423771.0,36.3
4574,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2002.0,186.0,454449.0,40.9
4575,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2003.0,183.0,520990.0,35.1
4576,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2004.0,237.0,555039.0,42.7
4577,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2005.0,222.0,573080.0,38.7
4578,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2006.0,220.0,595512.0,36.9
4579,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2007.0,254.0,640748.0,39.6
4580,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2008.0,260.0,684132.0,38.0
4581,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2009.0,311.0,735452.0,42.3
4582,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2010.0,301.0,796019.0,37.8
4583,Non-Hodgkin Lymphoma,33041-33042,60-64,Male,Black or African American,2011.0,290.0,845362.0,34.3
4584,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,1999.0,172.0,443965.0,38.7
4585,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2000.0,142.0,467926.0,30.3
4586,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2001.0,156.0,455789.0,34.2
4587,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2002.0,152.0,480296.0,31.6
4588,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2003.0,189.0,540631.0,35.0
4589,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2004.0,216.0,564536.0,38.3
4590,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2005.0,202.0,577297.0,35.0
4591,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2006.0,207.0,592001.0,35.0
4592,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2007.0,221.0,611113.0,36.2
4593,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2008.0,209.0,636882.0,32.8
4594,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2009.0,285.0,662149.0,43.0
4595,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2010.0,253.0,684060.0,37.0
4596,Non-Hodgkin Lymphoma,33041-33042,65-69,Female,Black or African American,2011.0,251.0,700942.0,35.8
4597,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,1999.0,169.0,330034.0,51.2
4598,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2000.0,154.0,346358.0,44.5
4599,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2001.0,171.0,339315.0,50.4
4600,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2002.0,165.0,360576.0,45.8
4601,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2003.0,195.0,407945.0,47.8
4602,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2004.0,170.0,427949.0,39.7
4603,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2005.0,228.0,439024.0,51.9
4604,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2006.0,222.0,450406.0,49.3
4605,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2007.0,224.0,464596.0,48.2
4606,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2008.0,215.0,485246.0,44.3
4607,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2009.0,246.0,505725.0,48.6
4608,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2010.0,262.0,524533.0,49.9
4609,Non-Hodgkin Lymphoma,33041-33042,65-69,Male,Black or African American,2011.0,250.0,539796.0,46.3
4610,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,1999.0,173.0,377156.0,45.9
4611,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2000.0,165.0,402014.0,41.0
4612,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2001.0,158.0,382755.0,41.3
4613,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2002.0,145.0,398022.0,36.4
4614,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2003.0,184.0,446670.0,41.2
4615,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2004.0,223.0,462599.0,48.2
4616,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2005.0,188.0,467996.0,40.2
4617,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2006.0,180.0,479835.0,37.5
4618,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2007.0,187.0,486725.0,38.4
4619,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2008.0,189.0,495256.0,38.2
4620,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2009.0,226.0,503540.0,44.9
4621,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2010.0,228.0,516215.0,44.2
4622,Non-Hodgkin Lymphoma,33041-33042,70-74,Female,Black or African American,2011.0,201.0,527357.0,38.1
4623,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,1999.0,145.0,251209.0,57.7
4624,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2000.0,150.0,268580.0,55.8
4625,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2001.0,146.0,257378.0,56.7
4626,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2002.0,153.0,270200.0,56.6
4627,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2003.0,160.0,305331.0,52.4
4628,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2004.0,190.0,318213.0,59.7
4629,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2005.0,169.0,325171.0,52.0
4630,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2006.0,185.0,335191.0,55.2
4631,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2007.0,200.0,342484.0,58.4
4632,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2008.0,203.0,350302.0,57.9
4633,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2009.0,198.0,358132.0,55.3
4634,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2010.0,228.0,368277.0,61.9
4635,Non-Hodgkin Lymphoma,33041-33042,70-74,Male,Black or African American,2011.0,204.0,376129.0,54.2
4636,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,1999.0,121.0,294801.0,41.0
4637,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2000.0,148.0,314208.0,47.1
4638,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2001.0,135.0,305778.0,44.1
4639,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2002.0,145.0,320071.0,45.3
4640,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2003.0,160.0,362162.0,44.2
4641,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2004.0,195.0,374017.0,52.1
4642,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2005.0,156.0,377096.0,41.4
4643,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2006.0,155.0,377234.0,41.1
4644,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2007.0,167.0,378478.0,44.1
4645,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2008.0,178.0,382373.0,46.6
4646,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2009.0,190.0,385738.0,49.3
4647,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2010.0,211.0,391864.0,53.8
4648,Non-Hodgkin Lymphoma,33041-33042,75-79,Female,Black or African American,2011.0,215.0,401606.0,53.5
4649,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,1999.0,97.0,178183.0,54.4
4650,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2000.0,93.0,189587.0,49.1
4651,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2001.0,98.0,184184.0,53.2
4652,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2002.0,116.0,192605.0,60.2
4653,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2003.0,129.0,217116.0,59.4
4654,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2004.0,156.0,223941.0,69.7
4655,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2005.0,136.0,227630.0,59.7
4656,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2006.0,141.0,229226.0,61.5
4657,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2007.0,138.0,231799.0,59.5
4658,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2008.0,161.0,236253.0,68.1
4659,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2009.0,168.0,240178.0,69.9
4660,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2010.0,179.0,246897.0,72.5
4661,Non-Hodgkin Lymphoma,33041-33042,75-79,Male,Black or African American,2011.0,183.0,255221.0,71.7
4662,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,1999.0,99.0,193303.0,51.2
4663,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2000.0,89.0,208856.0,42.6
4664,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2001.0,100.0,203923.0,49.0
4665,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2002.0,101.0,215465.0,46.9
4666,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2003.0,122.0,248365.0,49.1
4667,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2004.0,119.0,260441.0,45.7
4668,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2005.0,125.0,264211.0,47.3
4669,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2006.0,163.0,270865.0,60.2
4670,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2007.0,137.0,275592.0,49.7
4671,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2008.0,153.0,279505.0,54.7
4672,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2009.0,172.0,282112.0,61.0
4673,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2010.0,126.0,286959.0,43.9
4674,Non-Hodgkin Lymphoma,33041-33042,80-84,Female,Black or African American,2011.0,134.0,288201.0,46.5
4675,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,1999.0,71.0,95510.0,74.3
4676,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2000.0,51.0,105174.0,48.5
4677,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2001.0,67.0,103800.0,64.5
4678,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2002.0,68.0,110654.0,61.5
4679,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2003.0,66.0,128220.0,51.5
4680,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2004.0,79.0,134816.0,58.6
4681,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2005.0,93.0,137239.0,67.8
4682,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2006.0,90.0,140920.0,63.9
4683,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2007.0,103.0,143608.0,71.7
4684,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2008.0,97.0,145908.0,66.5
4685,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2009.0,95.0,147980.0,64.2
4686,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2010.0,109.0,152134.0,71.6
4687,Non-Hodgkin Lymphoma,33041-33042,80-84,Male,Black or African American,2011.0,107.0,154155.0,69.4
4688,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,1999.0,89.0,187844.0,47.4
4689,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2000.0,93.0,203937.0,45.6
4690,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2001.0,83.0,193891.0,42.8
4691,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2002.0,83.0,197324.0,42.1
4692,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2003.0,108.0,223778.0,48.3
4693,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2004.0,111.0,232605.0,47.7
4694,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2005.0,116.0,239827.0,48.4
4695,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2006.0,119.0,246500.0,48.3
4696,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2007.0,117.0,254734.0,45.9
4697,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2008.0,119.0,263829.0,45.1
4698,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2009.0,109.0,273838.0,39.8
4699,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2010.0,148.0,285729.0,51.8
4700,Non-Hodgkin Lymphoma,33041-33042,85+,Female,Black or African American,2011.0,114.0,295662.0,38.6
4701,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,1999.0,48.0,68819.0,69.7
4702,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2000.0,50.0,74569.0,67.1
4703,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2001.0,42.0,70497.0,59.6
4704,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2002.0,47.0,70836.0,66.4
4705,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2003.0,59.0,81006.0,72.8
4706,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2004.0,51.0,84728.0,60.2
4707,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2005.0,66.0,88331.0,74.7
4708,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2006.0,60.0,91732.0,65.4
4709,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2007.0,51.0,96068.0,53.1
4710,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2008.0,64.0,100819.0,63.5
4711,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2009.0,85.0,106153.0,80.1
4712,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2010.0,80.0,112115.0,71.4
4713,Non-Hodgkin Lymphoma,33041-33042,85+,Male,Black or African American,2011.0,87.0,117267.0,74.2
4714,Oral Cavity and Pharynx,20010-20100,15-19,Male,Black or African American,2003.0,17.0,1623741.0,1.0
4715,Oral Cavity and Pharynx,20010-20100,15-19,Male,Black or African American,2007.0,16.0,1886818.0,0.8
4716,Oral Cavity and Pharynx,20010-20100,15-19,Male,Black or African American,2009.0,20.0,1933253.0,1.0
4717,Oral Cavity and Pharynx,20010-20100,20-24,Female,Black or African American,2003.0,16.0,1516431.0,1.1
4718,Oral Cavity and Pharynx,20010-20100,20-24,Female,Black or African American,2004.0,17.0,1571506.0,1.1
4719,Oral Cavity and Pharynx,20010-20100,20-24,Female,Black or African American,2010.0,18.0,1728966.0,1.0
4720,Oral Cavity and Pharynx,20010-20100,20-24,Male,Black or African American,2003.0,16.0,1473943.0,1.1
4721,Oral Cavity and Pharynx,20010-20100,25-29,Female,Black or African American,2001.0,16.0,1183715.0,1.4
4722,Oral Cavity and Pharynx,20010-20100,25-29,Female,Black or African American,2003.0,18.0,1343024.0,1.3
4723,Oral Cavity and Pharynx,20010-20100,25-29,Female,Black or African American,2007.0,17.0,1542044.0,1.1
4724,Oral Cavity and Pharynx,20010-20100,25-29,Male,Black or African American,2002.0,17.0,1099291.0,1.5
4725,Oral Cavity and Pharynx,20010-20100,25-29,Male,Black or African American,2008.0,19.0,1433561.0,1.3
4726,Oral Cavity and Pharynx,20010-20100,25-29,Male,Black or African American,2009.0,16.0,1452008.0,1.1
4727,Oral Cavity and Pharynx,20010-20100,30-34,Female,Black or African American,2001.0,20.0,1245184.0,1.6
4728,Oral Cavity and Pharynx,20010-20100,30-34,Female,Black or African American,2003.0,18.0,1429719.0,1.3
4729,Oral Cavity and Pharynx,20010-20100,30-34,Female,Black or African American,2004.0,21.0,1460706.0,1.4
4730,Oral Cavity and Pharynx,20010-20100,30-34,Female,Black or African American,2005.0,25.0,1434647.0,1.7
4731,Oral Cavity and Pharynx,20010-20100,30-34,Female,Black or African American,2006.0,22.0,1411565.0,1.6
4732,Oral Cavity and Pharynx,20010-20100,30-34,Female,Black or African American,2007.0,26.0,1408863.0,1.8
4733,Oral Cavity and Pharynx,20010-20100,30-34,Female,Black or African American,2008.0,20.0,1420164.0,1.4
4734,Oral Cavity and Pharynx,20010-20100,30-34,Female,Black or African American,2010.0,22.0,1504261.0,1.5
4735,Oral Cavity and Pharynx,20010-20100,30-34,Female,Black or African American,2011.0,26.0,1530683.0,1.7
4736,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2000.0,27.0,1173319.0,2.3
4737,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2001.0,17.0,1121181.0,1.5
4738,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2002.0,27.0,1172453.0,2.3
4739,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2003.0,21.0,1271739.0,1.7
4740,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2004.0,27.0,1296310.0,2.1
4741,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2005.0,21.0,1270190.0,1.7
4742,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2006.0,20.0,1252301.0,1.6
4743,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2007.0,18.0,1250808.0,1.4
4744,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2010.0,24.0,1356641.0,1.8
4745,Oral Cavity and Pharynx,20010-20100,30-34,Male,Black or African American,2011.0,22.0,1383650.0,1.6
4746,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,1999.0,33.0,1346469.0,2.5
4747,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2000.0,26.0,1399495.0,1.9
4748,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2001.0,34.0,1319406.0,2.6
4749,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2002.0,37.0,1361240.0,2.7
4750,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2003.0,31.0,1470502.0,2.1
4751,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2004.0,30.0,1479799.0,2.0
4752,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2005.0,23.0,1469009.0,1.6
4753,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2006.0,35.0,1485026.0,2.4
4754,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2007.0,31.0,1497090.0,2.1
4755,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2008.0,34.0,1499322.0,2.3
4756,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2009.0,37.0,1493256.0,2.5
4757,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2010.0,30.0,1472547.0,2.0
4758,Oral Cavity and Pharynx,20010-20100,35-39,Female,Black or African American,2011.0,38.0,1433154.0,2.7
4759,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,1999.0,40.0,1199831.0,3.3
4760,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2000.0,50.0,1244810.0,4.0
4761,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2001.0,43.0,1179213.0,3.6
4762,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2002.0,51.0,1211029.0,4.2
4763,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2003.0,48.0,1303313.0,3.7
4764,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2004.0,49.0,1313871.0,3.7
4765,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2005.0,35.0,1304920.0,2.7
4766,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2006.0,54.0,1316137.0,4.1
4767,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2007.0,37.0,1328450.0,2.8
4768,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2008.0,52.0,1331056.0,3.9
4769,Oral Cavity and Pharynx,20010-20100,35-39,Male,Black or African American,2009.0,57.0,1324479.0,4.3
